strain	strain_id	chr	het	hom	nocall	call	n_loci	call_rate
BXD099	84	chr8	1706	314000	21	315706	315727	0.9999334868414801
BXD099	84	chr9	634	212030	6	212664	212670	0.9999717872760615
BXD100	85	chr1	1955	488552	21	490507	490528	0.9999571889881923
BXD100	85	chr10	651	168439	17	169090	169107	0.999899471931972
BXD100	85	chr11	58	270208	4	270266	270270	0.9999851999852
BXD100	85	chr12	454	217224	6	217678	217684	0.9999724371106742
BXD100	85	chr13	304	176784	11	177088	177099	0.9999378878480398
BXD100	85	chr14	1876	363523	25	365399	365424	0.9999315863216428
BXD100	85	chr15	911	149488	9	150399	150408	0.9999401627573001
BXD100	85	chr16	425	132500	4	132925	132929	0.9999699087482792
BXD100	85	chr17	617	209112	23	209729	209752	0.9998903466951448
BXD100	85	chr18	587	105949	2	106536	106538	0.9999812273554975
BXD100	85	chr19	328	136456	7	136784	136791	0.9999488270427148
BXD100	85	chr2	1267	372331	19	373598	373617	0.999949145782981
BXD100	85	chr3	1843	317946	10	319789	319799	0.9999687303587566
BXD100	85	chr4	7559	286913	119	294472	294591	0.9995960501169417
BXD100	85	chr5	1711	226606	25	228317	228342	0.9998905151045362
BXD100	85	chr6	585	245854	7	246439	246446	0.9999715962117461
BXD100	85	chr7	604	351353	9	351957	351966	0.9999744293482893
BXD100	85	chr8	1530	314188	9	315718	315727	0.9999714943606344
BXD100	85	chr9	678	211983	9	212661	212670	0.9999576809140922
BXD101	86	chr1	2342	488162	24	490504	490528	0.9999510731293626
BXD101	86	chr10	260	168833	14	169093	169107	0.9999172121792711
BXD101	86	chr11	1145	269117	8	270262	270270	0.9999703999703999
BXD101	86	chr12	1059	216618	7	217677	217684	0.9999678432957866
BXD101	86	chr13	343	176747	9	177090	177099	0.999949180966578
BXD101	86	chr14	1461	363949	14	365410	365424	0.99996168834012
BXD101	86	chr15	1249	149153	6	150402	150408	0.9999601085048667
BXD101	86	chr16	554	132361	14	132915	132929	0.999894680618977
BXD101	86	chr17	504	209224	24	209728	209752	0.9998855791601511
BXD101	86	chr18	861	105668	9	106529	106538	0.9999155230997391
BXD101	86	chr19	196	136586	9	136782	136791	0.9999342061977762
BXD101	86	chr2	2318	371270	29	373588	373617	0.9999223804056026
BXD101	86	chr3	2315	317463	21	319778	319799	0.9999343337533888
BXD101	86	chr4	7868	286596	127	294464	294591	0.9995688938222824
BXD101	86	chr5	2151	226156	35	228307	228342	0.9998467211463506
BXD101	86	chr6	613	245821	12	246434	246446	0.9999513077915649
BXD101	86	chr7	615	351336	15	351951	351966	0.9999573822471489
BXD101	86	chr8	775	314946	6	315721	315727	0.9999809962404229
BXD101	86	chr9	1334	211324	12	212658	212670	0.999943574552123
BXD102	87	chr1	3485	487023	20	490508	490528	0.9999592276078022
BXD102	87	chr10	287	168810	10	169097	169107	0.9999408658423365
BXD102	87	chr11	204	270060	6	270264	270270	0.9999777999778
BXD102	87	chr12	937	216738	9	217675	217684	0.9999586556660113
BXD102	87	chr13	459	176633	7	177092	177099	0.9999604740851162
BXD102	87	chr14	617	364792	15	365409	365424	0.9999589517929857
BXD102	87	chr15	1076	149314	18	150390	150408	0.9998803255146003
BXD102	87	chr16	791	132132	6	132923	132929	0.9999548631224188
BXD102	87	chr17	171	209562	19	209733	209752	0.9999094168351196
BXD102	87	chr18	858	105668	12	106526	106538	0.9998873641329854
BXD102	87	chr19	527	136258	6	136785	136791	0.9999561374651841
BXD102	87	chr2	817	372781	19	373598	373617	0.999949145782981
BXD102	87	chr3	1809	317976	14	319785	319799	0.9999562225022592
BXD102	87	chr4	8534	285932	125	294466	294591	0.9995756828959472
BXD102	87	chr5	1229	227094	19	228323	228342	0.9999167914794475
BXD102	87	chr6	385	246048	13	246433	246446	0.9999472501075286
BXD102	87	chr7	623	351329	14	351952	351966	0.9999602234306723
BXD102	87	chr8	2234	313485	8	315719	315727	0.9999746616538971
BXD102	87	chr9	775	211885	10	212660	212670	0.9999529787934358
BXD111	88	chr1	460	490047	21	490507	490528	0.9999571889881923
BXD111	88	chr10	410	168691	6	169101	169107	0.9999645195054019
BXD111	88	chr11	559	269700	11	270259	270270	0.9999592999593
BXD111	88	chr12	479	217194	11	217673	217684	0.999949468036236
BXD111	88	chr13	1159	175931	9	177090	177099	0.999949180966578
BXD111	88	chr14	1466	363937	21	365403	365424	0.99994253251018
BXD111	88	chr15	787	149615	6	150402	150408	0.9999601085048667
BXD111	88	chr16	1006	131915	8	132921	132929	0.9999398174965584
BXD111	88	chr17	3365	206371	16	209736	209752	0.9999237194401007
BXD111	88	chr18	682	105852	4	106534	106538	0.9999624547109951
BXD111	88	chr19	22659	114101	31	136760	136791	0.9997733769034512
BXD111	88	chr2	46641	326835	141	373476	373617	0.999622608178964
BXD111	88	chr3	561	319226	12	319787	319799	0.999962476430508
BXD111	88	chr4	8154	286252	185	294406	294591	0.9993720106860019
BXD111	88	chr5	2184	226139	19	228323	228342	0.9999167914794475
BXD111	88	chr6	3473	242949	24	246422	246446	0.9999026155831298
BXD111	88	chr7	3014	348926	26	351940	351966	0.9999261292283914
BXD111	88	chr8	215	315493	19	315708	315727	0.9999398214280059
BXD111	88	chr9	86	212573	11	212659	212670	0.9999482766727794
BXD113	89	chr1	3371	487137	20	490508	490528	0.9999592276078022
BXD113	89	chr10	264	168839	4	169103	169107	0.9999763463369346
BXD113	89	chr11	241	270022	7	270263	270270	0.9999740999741
BXD113	89	chr12	178	217503	3	217681	217684	0.9999862185553371
BXD113	89	chr13	580	176509	10	177089	177099	0.9999435344073089
BXD113	89	chr14	578	364835	11	365413	365424	0.9999698979815228
BXD113	89	chr15	942	149462	4	150404	150408	0.9999734056699112
BXD113	89	chr16	1078	131839	12	132917	132929	0.9999097262448374
BXD113	89	chr17	6422	203305	25	209727	209752	0.9998808116251573
BXD113	89	chr18	78	106457	3	106535	106538	0.9999718410332463
BXD113	89	chr19	308	136475	8	136783	136791	0.9999415166202454
BXD113	89	chr2	1631	371960	26	373591	373617	0.9999304100188161
BXD113	89	chr3	2172	317615	12	319787	319799	0.999962476430508
BXD113	89	chr4	8053	286413	125	294466	294591	0.9995756828959472
BXD113	89	chr5	1919	226413	10	228332	228342	0.9999562060418145
BXD113	89	chr6	2384	244043	19	246427	246446	0.9999229040033111
BXD113	89	chr7	317	351641	8	351958	351966	0.9999772705318127
BXD113	89	chr8	2294	313421	12	315715	315727	0.9999619924808458
BXD113	89	chr9	804	211860	6	212664	212670	0.9999717872760615
BXD114	90	chr1	2174	488333	21	490507	490528	0.9999571889881923
BXD114	90	chr10	427	168674	6	169101	169107	0.9999645195054019
BXD114	90	chr11	853	269411	6	270264	270270	0.9999777999778
BXD114	90	chr12	121	217554	9	217675	217684	0.9999586556660113
BXD114	90	chr13	277	176817	5	177094	177099	0.9999717672036544
BXD114	90	chr14	3310	362094	20	365404	365424	0.9999452690573143
BXD114	90	chr15	20490	129842	76	150332	150408	0.9994947077283123
BXD114	90	chr16	1135	131785	9	132920	132929	0.9999322946836281
BXD114	90	chr17	67074	142255	423	209329	209752	0.997983332697662
BXD114	90	chr18	462	106066	10	106528	106538	0.9999061367774879
BXD114	90	chr19	305	136475	11	136780	136791	0.9999195853528375
BXD114	90	chr2	5395	368152	70	373547	373617	0.9998126423583509
BXD114	90	chr3	3028	316756	15	319784	319799	0.9999530955381349
BXD114	90	chr4	8598	285804	189	294402	294591	0.9993584325386723
BXD114	90	chr5	2400	225910	32	228310	228342	0.9998598593338063
BXD114	90	chr6	48880	197379	187	246259	246446	0.9992412130852195
BXD114	90	chr7	2405	349540	21	351945	351966	0.9999403351460084
BXD114	90	chr8	2247	313468	12	315715	315727	0.9999619924808458
BXD114	90	chr9	925	211732	13	212657	212670	0.9999388724314666
BXD122	91	chr1	53107	437377	44	490484	490528	0.9999103007371648
BXD122	91	chr10	643	168454	10	169097	169107	0.9999408658423365
BXD122	91	chr11	572	269689	9	270261	270270	0.9999666999667
BXD122	91	chr12	22	217656	6	217678	217684	0.9999724371106742
BXD122	91	chr13	1329	175762	8	177091	177099	0.9999548275258471
BXD122	91	chr14	1691	363721	12	365412	365424	0.9999671614343886
BXD122	91	chr15	460	149942	6	150402	150408	0.9999601085048667
BXD122	91	chr16	802	132114	13	132916	132929	0.9999022034319073
BXD122	91	chr17	623	209112	17	209735	209752	0.9999189519051069
BXD122	91	chr18	221	106310	7	106531	106538	0.9999342957442415
BXD122	91	chr19	185	136603	3	136788	136791	0.9999780687325921
BXD122	91	chr2	2331	371267	19	373598	373617	0.999949145782981
BXD122	91	chr3	485	319307	7	319792	319799	0.9999781112511296
BXD122	91	chr4	725	293850	16	294575	294591	0.9999456874106812
BXD122	91	chr5	1286	227039	17	228325	228342	0.9999255502710847
BXD122	91	chr6	2121	244318	7	246439	246446	0.9999715962117461
BXD122	91	chr7	686	351270	10	351956	351966	0.999971588164766
BXD122	91	chr8	720	314998	9	315718	315727	0.9999714943606344
BXD122	91	chr9	1526	211133	11	212659	212670	0.9999482766727794
BXD123	92	chr1	3856	486659	13	490515	490528	0.9999734979450714
BXD123	92	chr10	1175	167918	14	169093	169107	0.9999172121792711
BXD123	92	chr11	1000	269265	5	270265	270270	0.9999814999815
BXD123	92	chr12	415	217255	14	217670	217684	0.9999356865915731
BXD123	92	chr13	2171	174918	10	177089	177099	0.9999435344073089
BXD123	92	chr14	2361	363045	18	365406	365424	0.9999507421515829
BXD123	92	chr15	2234	148173	1	150407	150408	0.9999933514174778
BXD123	92	chr16	1771	131150	8	132921	132929	0.9999398174965584
BXD123	92	chr17	2722	207017	13	209739	209752	0.9999380220450819
BXD123	92	chr18	694	105837	7	106531	106538	0.9999342957442415
BXD123	92	chr19	3104	133672	15	136776	136791	0.9998903436629603
BXD123	92	chr2	405	373195	17	373600	373617	0.9999544988584567
BXD123	92	chr3	2157	317628	14	319785	319799	0.9999562225022592
BXD123	92	chr4	3162	291409	20	294571	294591	0.9999321092633515
BXD123	92	chr5	2396	225920	26	228316	228342	0.9998861357087176
BXD123	92	chr6	16407	230025	14	246432	246446	0.9999431924234924
BXD123	92	chr7	532	351421	13	351953	351966	0.9999630646141957
BXD123	92	chr8	7216	308494	17	315710	315727	0.9999461560145315
BXD123	92	chr9	805	211855	10	212660	212670	0.9999529787934358
BXD124	93	chr1	63792	426581	155	490373	490528	0.9996840139604671
BXD124	93	chr10	510	168594	3	169104	169107	0.9999822597527009
BXD124	93	chr11	571	269693	6	270264	270270	0.9999777999778
BXD124	93	chr12	26630	191001	53	217631	217684	0.9997565278109554
BXD124	93	chr13	54755	122247	97	177002	177099	0.9994522837508963
BXD124	93	chr14	2551	362851	22	365402	365424	0.9999397959630457
BXD124	93	chr15	804	149599	5	150403	150408	0.9999667570873889
BXD124	93	chr16	35395	97359	175	132754	132929	0.9986835077372131
BXD124	93	chr17	3225	206511	16	209736	209752	0.9999237194401007
BXD124	93	chr18	31246	75188	104	106434	106538	0.9990238224858736
BXD124	93	chr19	36025	100667	99	136692	136791	0.9992762681755378
BXD124	93	chr2	618	372984	15	373602	373617	0.9999598519339323
BXD124	93	chr3	8561	311226	12	319787	319799	0.999962476430508
BXD124	93	chr4	89008	204783	800	293791	294591	0.9972843705340625
BXD124	93	chr5	2132	226188	22	228320	228342	0.9999036532919918
BXD124	93	chr6	22984	223341	121	246325	246446	0.9995090202316126
BXD124	93	chr7	236352	115056	558	351408	351966	0.9984146195939381
BXD124	93	chr8	286588	28712	427	315300	315727	0.9986475657767628
BXD124	93	chr9	65	212600	5	212665	212670	0.9999764893967179
BXD125	94	chr1	2485	488018	25	490503	490528	0.9999490345097528
BXD125	94	chr10	517	168575	15	169092	169107	0.9999112987635047
BXD125	94	chr11	1044	269219	7	270263	270270	0.9999740999741
BXD125	94	chr12	845	216830	9	217675	217684	0.9999586556660113
BXD125	94	chr13	294	176800	5	177094	177099	0.9999717672036544
BXD125	94	chr14	2472	362936	16	365408	365424	0.9999562152458514
BXD125	94	chr15	506	149892	10	150398	150408	0.9999335141747779
BXD125	94	chr16	1158	131763	8	132921	132929	0.9999398174965584
BXD125	94	chr17	3126	206604	22	209730	209752	0.9998951142301384
BXD125	94	chr18	48	106487	3	106535	106538	0.9999718410332463
BXD125	94	chr19	696	136089	6	136785	136791	0.9999561374651841
BXD125	94	chr2	46045	327487	85	373532	373617	0.9997724942922833
BXD125	94	chr3	401	319387	11	319788	319799	0.9999656033946323
BXD125	94	chr4	8152	286327	112	294479	294591	0.9996198118747688
BXD125	94	chr5	1877	226444	21	228321	228342	0.9999080326878104
BXD125	94	chr6	403	246037	6	246440	246446	0.9999756538957825
BXD125	94	chr7	999	350955	12	351954	351966	0.999965905797719
BXD125	94	chr8	2606	313107	14	315713	315727	0.9999556578943201
BXD125	94	chr9	820	211844	6	212664	212670	0.9999717872760615
BXD127	95	chr1	2880	487639	9	490519	490528	0.999981652423511
BXD127	95	chr10	60777	108149	181	168926	169107	0.9989296717462908
BXD127	95	chr11	620	269646	4	270266	270270	0.9999851999852
BXD127	95	chr12	506	217169	9	217675	217684	0.9999586556660113
BXD127	95	chr13	567	176528	4	177095	177099	0.9999774137629236
BXD127	95	chr14	88179	277050	195	365229	365424	0.9994663733088138
BXD127	95	chr15	1037	149362	9	150399	150408	0.9999401627573001
BXD127	95	chr16	76360	56403	166	132763	132929	0.998751213053585
BXD127	95	chr17	1923	207804	25	209727	209752	0.9998808116251573
BXD127	95	chr18	351	106185	2	106536	106538	0.9999812273554975
BXD127	95	chr19	574	136215	2	136789	136791	0.9999853791550614
BXD127	95	chr2	2203	371403	11	373606	373617	0.9999705580848837
BXD127	95	chr3	1600	318183	16	319783	319799	0.9999499685740105
BXD127	95	chr4	102036	192219	336	294255	294591	0.9988594356243062
BXD127	95	chr5	238	228097	7	228335	228342	0.9999693442292701
BXD127	95	chr6	1266	245165	15	246431	246446	0.9999391347394561
BXD127	95	chr7	3487	348459	20	351946	351966	0.9999431763295318
BXD127	95	chr8	2513	313205	9	315718	315727	0.9999714943606344
BXD127	95	chr9	865	211795	10	212660	212670	0.9999529787934358
BXD128	96	chr1	249	490264	15	490513	490528	0.9999694207058517
BXD128	96	chr10	559	168537	11	169096	169107	0.9999349524265702
BXD128	96	chr11	5105	265149	16	270254	270270	0.9999407999408
BXD128	96	chr12	464	217214	6	217678	217684	0.9999724371106742
BXD128	96	chr13	1031	176062	6	177093	177099	0.9999661206443854
BXD128	96	chr14	2144	363259	21	365403	365424	0.99994253251018
BXD128	96	chr15	663	149742	3	150405	150408	0.9999800542524334
BXD128	96	chr16	247	132679	3	132926	132929	0.9999774315612093
BXD128	96	chr17	49162	160536	54	209698	209752	0.9997425531103399
BXD128	96	chr18	169	106365	4	106534	106538	0.9999624547109951
BXD128	96	chr19	743	136041	7	136784	136791	0.9999488270427148
BXD128	96	chr2	1049	372557	11	373606	373617	0.9999705580848837
BXD128	96	chr3	1024	318763	12	319787	319799	0.999962476430508
BXD128	96	chr4	416	294166	9	294582	294591	0.9999694491685082
BXD128	96	chr5	919	227410	13	228329	228342	0.9999430678543588
BXD128	96	chr6	2158	244275	13	246433	246446	0.9999472501075286
BXD128	96	chr7	1884	350068	14	351952	351966	0.9999602234306723
BXD128	96	chr8	1544	314169	14	315713	315727	0.9999556578943201
BXD128	96	chr9	834	211831	5	212665	212670	0.9999764893967179
BXD131	97	chr1	2996	487510	22	490506	490528	0.9999551503685824
BXD131	97	chr10	669	168429	9	169098	169107	0.9999467792581028
BXD131	97	chr11	176	270093	1	270269	270270	0.9999962999963
BXD131	97	chr12	817	216853	14	217670	217684	0.9999356865915731
BXD131	97	chr13	907	176182	10	177089	177099	0.9999435344073089
BXD131	97	chr14	2745	362652	27	365397	365424	0.9999261132273742
BXD131	97	chr15	950	149451	7	150401	150408	0.9999534599223445
BXD131	97	chr16	253	132670	6	132923	132929	0.9999548631224188
BXD131	97	chr17	2786	206943	23	209729	209752	0.9998903466951448
BXD131	97	chr18	1092	105439	7	106531	106538	0.9999342957442415
BXD131	97	chr19	583	136202	6	136785	136791	0.9999561374651841
BXD131	97	chr2	41996	331575	46	373571	373617	0.9998768792640592
BXD131	97	chr3	2395	317395	9	319790	319799	0.999971857322881
BXD131	97	chr4	8041	286409	141	294450	294591	0.9995213703066285
BXD131	97	chr5	25964	202312	66	228276	228342	0.9997109598759755
BXD131	97	chr6	2263	244164	19	246427	246446	0.9999229040033111
BXD131	97	chr7	1473	350481	12	351954	351966	0.999965905797719
BXD131	97	chr8	3651	312048	28	315699	315727	0.9999113157886402
BXD131	97	chr9	80	212583	7	212663	212670	0.9999670851554051
BXD137	98	chr1	4172	486327	29	490499	490528	0.9999408800313132
BXD137	98	chr10	160	168943	4	169103	169107	0.9999763463369346
BXD137	98	chr11	35494	234733	43	270227	270270	0.9998408998408999
BXD137	98	chr12	309	217365	10	217674	217684	0.9999540618511237
BXD137	98	chr13	1431	175657	11	177088	177099	0.9999378878480398
BXD137	98	chr14	7710	357671	43	365381	365424	0.9998823284732257
BXD137	98	chr15	82	150320	6	150402	150408	0.9999601085048667
BXD137	98	chr16	270	132647	12	132917	132929	0.9999097262448374
BXD137	98	chr17	3213	206520	19	209733	209752	0.9999094168351196
BXD137	98	chr18	429	106106	3	106535	106538	0.9999718410332463
BXD137	98	chr19	462	136322	7	136784	136791	0.9999488270427148
BXD137	98	chr2	1362	372236	19	373598	373617	0.999949145782981
BXD137	98	chr3	176	319613	10	319789	319799	0.9999687303587566
BXD137	98	chr4	8601	285859	131	294460	294591	0.9995553156749527
BXD137	98	chr5	1400	226915	27	228315	228342	0.9998817563128991
BXD137	98	chr6	270	246166	10	246436	246446	0.9999594231596374
BXD137	98	chr7	2416	349530	20	351946	351966	0.9999431763295318
BXD137	98	chr8	166	315547	14	315713	315727	0.9999556578943201
BXD137	98	chr9	41226	171253	191	212479	212670	0.9991018949546245
BXD141	99	chr1	4797	485692	39	490489	490528	0.9999204938352143
BXD141	99	chr10	510	168593	4	169103	169107	0.9999763463369346
BXD141	99	chr11	1292	268969	9	270261	270270	0.9999666999667
BXD141	99	chr12	478	217196	10	217674	217684	0.9999540618511237
BXD141	99	chr13	1443	175638	18	177081	177099	0.9998983619331561
BXD141	99	chr14	2072	363335	17	365407	365424	0.9999534786987171
BXD141	99	chr15	1552	148845	11	150397	150408	0.9999268655922557
BXD141	99	chr16	1087	131837	5	132924	132929	0.9999623859353489
BXD141	99	chr17	490	209243	19	209733	209752	0.9999094168351196
BXD141	99	chr18	115	106416	7	106531	106538	0.9999342957442415
BXD141	99	chr19	83	136705	3	136788	136791	0.9999780687325921
BXD141	99	chr2	7386	366119	112	373505	373617	0.9997002277733615
BXD141	99	chr3	3009	316773	17	319782	319799	0.9999468416098862
BXD141	99	chr4	354	294225	12	294579	294591	0.999959265558011
BXD141	99	chr5	174	228158	10	228332	228342	0.9999562060418145
BXD141	99	chr6	705	245723	18	246428	246446	0.9999269616873473
BXD141	99	chr7	892	351061	13	351953	351966	0.9999630646141957
BXD141	99	chr8	1407	314300	20	315707	315727	0.999936654134743
BXD141	99	chr9	1382	211277	11	212659	212670	0.9999482766727794
BXD144	100	chr1	2192	488320	16	490512	490528	0.9999673820862418
BXD144	100	chr10	1012	168078	17	169090	169107	0.999899471931972
BXD144	100	chr11	133	270130	7	270263	270270	0.9999740999741
BXD144	100	chr12	1672	216002	10	217674	217684	0.9999540618511237
BXD144	100	chr13	1104	175991	4	177095	177099	0.9999774137629236
BXD144	100	chr14	2749	362637	38	365386	365424	0.999896011208897
BXD144	100	chr15	1212	149192	4	150404	150408	0.9999734056699112
BXD144	100	chr16	996	131915	18	132911	132929	0.9998645893672562
BXD144	100	chr17	856	208876	20	209732	209752	0.9999046493001259
BXD144	100	chr18	48	106483	7	106531	106538	0.9999342957442415
BXD144	100	chr19	334	136450	7	136784	136791	0.9999488270427148
BXD144	100	chr2	1122	372465	30	373587	373617	0.9999197038678647
BXD144	100	chr3	2273	317505	21	319778	319799	0.9999343337533888
BXD144	100	chr4	351	294229	11	294580	294591	0.9999626600948434
BXD144	100	chr5	2495	225828	19	228323	228342	0.9999167914794475
BXD144	100	chr6	19194	227188	64	246382	246446	0.9997403082216794
BXD144	100	chr7	1208	350747	11	351955	351966	0.9999687469812425
BXD144	100	chr8	779	314928	20	315707	315727	0.999936654134743
BXD144	100	chr9	1830	210827	13	212657	212670	0.9999388724314666
BXD147	101	chr1	3137	487367	24	490504	490528	0.9999510731293626
BXD147	101	chr10	97	169005	5	169102	169107	0.9999704329211683
BXD147	101	chr11	1060	269201	9	270261	270270	0.9999666999667
BXD147	101	chr12	419	217259	6	217678	217684	0.9999724371106742
BXD147	101	chr13	634	176451	14	177085	177099	0.9999209481702325
BXD147	101	chr14	1112	364296	16	365408	365424	0.9999562152458514
BXD147	101	chr15	363	150038	7	150401	150408	0.9999534599223445
BXD147	101	chr16	715	132207	7	132922	132929	0.9999473403094885
BXD147	101	chr17	528	209199	25	209727	209752	0.9998808116251573
BXD147	101	chr18	1007	105524	7	106531	106538	0.9999342957442415
BXD147	101	chr19	1006	135773	12	136779	136791	0.9999122749303683
BXD147	101	chr2	23830	349731	56	373561	373617	0.9998501138866808
BXD147	101	chr3	1368	318404	27	319772	319799	0.9999155719686428
BXD147	101	chr4	394	294185	12	294579	294591	0.999959265558011
BXD147	101	chr5	627	227705	10	228332	228342	0.9999562060418145
BXD147	101	chr6	1728	244708	10	246436	246446	0.9999594231596374
BXD147	101	chr7	1784	350168	14	351952	351966	0.9999602234306723
BXD147	101	chr8	1985	313729	13	315714	315727	0.999958825187583
BXD147	101	chr9	1709	210956	5	212665	212670	0.9999764893967179
BXD148	102	chr1	38792	451576	160	490368	490528	0.9996738208624176
BXD148	102	chr10	1132	167959	16	169091	169107	0.9999053853477384
BXD148	102	chr11	904	269355	11	270259	270270	0.9999592999593
BXD148	102	chr12	462	217215	7	217677	217684	0.9999678432957866
BXD148	102	chr13	1282	175806	11	177088	177099	0.9999378878480398
BXD148	102	chr14	2193	363215	16	365408	365424	0.9999562152458514
BXD148	102	chr15	169	150229	10	150398	150408	0.9999335141747779
BXD148	102	chr16	8336	124553	40	132889	132929	0.9996990874827916
BXD148	102	chr17	11975	197755	22	209730	209752	0.9998951142301384
BXD148	102	chr18	891	105642	5	106533	106538	0.9999530683887439
BXD148	102	chr19	410	136372	9	136782	136791	0.9999342061977762
BXD148	102	chr2	68622	304869	126	373491	373617	0.9996627562450316
BXD148	102	chr3	359	319428	12	319787	319799	0.999962476430508
BXD148	102	chr4	7601	286863	127	294464	294591	0.9995688938222824
BXD148	102	chr5	2074	226252	16	228326	228342	0.9999299296669032
BXD148	102	chr6	143	246295	8	246438	246446	0.9999675385277099
BXD148	102	chr7	68638	283178	150	351816	351966	0.9995738224714887
BXD148	102	chr8	678	315034	15	315712	315727	0.9999524906010573
BXD148	102	chr9	627	212031	12	212658	212670	0.999943574552123
BXD149	103	chr1	2966	487535	27	490501	490528	0.999944957270533
BXD149	103	chr10	231	168867	9	169098	169107	0.9999467792581028
BXD149	103	chr11	642	269619	9	270261	270270	0.9999666999667
BXD149	103	chr12	296	217382	6	217678	217684	0.9999724371106742
BXD149	103	chr13	1327	175764	8	177091	177099	0.9999548275258471
BXD149	103	chr14	8982	356342	100	365324	365424	0.9997263452865712
BXD149	103	chr15	884	149519	5	150403	150408	0.9999667570873889
BXD149	103	chr16	498	132424	7	132922	132929	0.9999473403094885
BXD149	103	chr17	51885	157722	145	209607	209752	0.9993087074259125
BXD149	103	chr18	2470	104064	4	106534	106538	0.9999624547109951
BXD149	103	chr19	30823	105854	114	136677	136791	0.9991666118384982
BXD149	103	chr2	1080	372515	22	373595	373617	0.9999411161697674
BXD149	103	chr3	1327	318459	13	319786	319799	0.9999593494663835
BXD149	103	chr4	665	293913	13	294578	294591	0.9999558710211786
BXD149	103	chr5	473	227864	5	228337	228342	0.9999781030209073
BXD149	103	chr6	648	245783	15	246431	246446	0.9999391347394561
BXD149	103	chr7	2761	349186	19	351947	351966	0.9999460175130552
BXD149	103	chr8	43484	272123	120	315607	315727	0.999619924808458
BXD149	103	chr9	526	212141	3	212667	212670	0.9999858936380307
BXD150	104	chr1	1456	489044	28	490500	490528	0.9999429186509231
BXD150	104	chr10	176	168920	11	169096	169107	0.9999349524265702
BXD150	104	chr11	586	269670	14	270256	270270	0.9999481999482
BXD150	104	chr12	328	217351	5	217679	217684	0.9999770309255618
BXD150	104	chr13	1469	175615	15	177084	177099	0.9999153016109633
BXD150	104	chr14	1807	363602	15	365409	365424	0.9999589517929857
BXD150	104	chr15	281	150123	4	150404	150408	0.9999734056699112
BXD150	104	chr16	913	132006	10	132919	132929	0.9999247718706978
BXD150	104	chr17	3325	206400	27	209725	209752	0.9998712765551699
BXD150	104	chr18	88	106444	6	106532	106538	0.9999436820664928
BXD150	104	chr19	726	136056	9	136782	136791	0.9999342061977762
BXD150	104	chr2	2488	371098	31	373586	373617	0.9999170273301269
BXD150	104	chr3	1932	317854	13	319786	319799	0.9999593494663835
BXD150	104	chr4	8889	285581	121	294470	294591	0.9995892610432769
BXD150	104	chr5	1274	227043	25	228317	228342	0.9998905151045362
BXD150	104	chr6	2216	244216	14	246432	246446	0.9999431924234924
BXD150	104	chr7	1073	350877	16	351950	351966	0.9999545410636255
BXD150	104	chr8	2477	313233	17	315710	315727	0.9999461560145315
BXD150	104	chr9	74	212590	6	212664	212670	0.9999717872760615
BXD151	105	chr1	312	490195	21	490507	490528	0.9999571889881923
BXD151	105	chr10	727	168368	12	169095	169107	0.9999290390108038
BXD151	105	chr11	593	269667	10	270260	270270	0.999962999963
BXD151	105	chr12	464	217212	8	217676	217684	0.9999632494808989
BXD151	105	chr13	1172	175921	6	177093	177099	0.9999661206443854
BXD151	105	chr14	1027	364373	24	365400	365424	0.999934322868777
BXD151	105	chr15	643	149763	2	150406	150408	0.9999867028349556
BXD151	105	chr16	196	132730	3	132926	132929	0.9999774315612093
BXD151	105	chr17	242	209496	14	209738	209752	0.9999332545100881
BXD151	105	chr18	4951	101580	7	106531	106538	0.9999342957442415
BXD151	105	chr19	701	136082	8	136783	136791	0.9999415166202454
BXD151	105	chr2	354	373248	15	373602	373617	0.9999598519339323
BXD151	105	chr3	909	318878	12	319787	319799	0.999962476430508
BXD151	105	chr4	4761	289776	54	294537	294591	0.9998166950110492
BXD151	105	chr5	867	227467	8	228334	228342	0.9999649648334515
BXD151	105	chr6	2307	244125	14	246432	246446	0.9999431924234924
BXD151	105	chr7	1649	350293	24	351942	351966	0.9999318115954382
BXD151	105	chr8	660	315050	17	315710	315727	0.9999461560145315
BXD151	105	chr9	816	211840	14	212656	212670	0.9999341703108102
BXD152	106	chr1	5223	485276	29	490499	490528	0.9999408800313132
BXD152	106	chr10	95	169008	4	169103	169107	0.9999763463369346
BXD152	106	chr11	111	270154	5	270265	270270	0.9999814999815
BXD152	106	chr12	647	217027	10	217674	217684	0.9999540618511237
BXD152	106	chr13	1839	175255	5	177094	177099	0.9999717672036544
BXD152	106	chr14	996	364415	13	365411	365424	0.9999644248872542
BXD152	106	chr15	1144	149257	7	150401	150408	0.9999534599223445
BXD152	106	chr16	980	131942	7	132922	132929	0.9999473403094885
BXD152	106	chr17	3252	206484	16	209736	209752	0.9999237194401007
BXD152	106	chr18	8365	98140	33	106505	106538	0.9996902513657099
BXD152	106	chr19	273	136508	10	136781	136791	0.9999268957753068
BXD152	106	chr2	1302	372292	23	373594	373617	0.9999384396320296
BXD152	106	chr3	2011	317774	14	319785	319799	0.9999562225022592
BXD152	106	chr4	7147	287287	157	294434	294591	0.9994670577173098
BXD152	106	chr5	4485	223830	27	228315	228342	0.9998817563128991
BXD152	106	chr6	2162	244273	11	246435	246446	0.9999553654756012
BXD152	106	chr7	1802	350141	23	351943	351966	0.9999346527789617
